RPS,Ion,,Expected downtime (days),,,,,,,,,Ion,RPS,Expected downtime (days),Availability,,,
s_parts=145,s_parts=8,21052.25602,21.05225602,,,,,,,,,8,145,21.05225602,99.86%,,,
s_parts=144,s_parts=10,21053.23254,21.05323254,,,,,,,,,10,144,21.05323254,99.86%,,,
s_parts=144,s_parts=9,21053.47731,21.05347731,,,,,,,,,9,144,21.05347731,99.86%,,,
s_parts=144,s_parts=8,21056.04056,21.05604056,,,,,,,,,8,144,21.05604056,99.86%,,,
s_parts=143,s_parts=10,21058.73347,21.05873347,,,,,,,,,10,143,21.05873347,99.86%,,,
s_parts=143,s_parts=9,21058.97824,21.05897824,,,,,,,,,9,143,21.05897824,99.86%,,,
s_parts=143,s_parts=8,21061.54148,21.06154148,,,,,,,,,8,143,21.06154148,99.86%,,,
s_parts=142,s_parts=10,21066.67606,21.06667606,,,,,,,,,10,142,21.06667606,99.86%,,,
s_parts=142,s_parts=9,21066.92083,21.06692083,,,,,,,,,9,142,21.06692083,99.86%,,,
s_parts=198,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,198,21.06884612,99.86%,,,
s_parts=199,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,199,21.06884612,99.86%,,,
s_parts=200,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,200,21.06884612,99.86%,,,
s_parts=197,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,197,21.06884612,99.86%,,,
s_parts=196,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,196,21.06884612,99.86%,,,
s_parts=195,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,195,21.06884612,99.86%,,,
s_parts=194,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,194,21.06884612,99.86%,,,
s_parts=193,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,193,21.06884612,99.86%,,,
s_parts=192,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,192,21.06884612,99.86%,,,
s_parts=191,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,191,21.06884612,99.86%,,,
s_parts=190,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,190,21.06884612,99.86%,,,
s_parts=189,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,189,21.06884612,99.86%,,,
s_parts=188,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,188,21.06884612,99.86%,,,
s_parts=187,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,187,21.06884612,99.86%,,,
s_parts=186,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,186,21.06884612,99.86%,,,
s_parts=185,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,185,21.06884612,99.86%,,,
s_parts=184,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,184,21.06884612,99.86%,,,
s_parts=183,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,183,21.06884612,99.86%,,,
s_parts=182,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,182,21.06884612,99.86%,,,
s_parts=181,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,181,21.06884612,99.86%,,,
s_parts=180,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,180,21.06884612,99.86%,,,
s_parts=179,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,179,21.06884612,99.86%,,,
s_parts=178,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,178,21.06884612,99.86%,,,
s_parts=177,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,177,21.06884612,99.86%,,,
s_parts=176,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,176,21.06884612,99.86%,,,
s_parts=175,s_parts=7,21068.84612,21.06884612,,,,,,,,,7,175,21.06884612,99.86%,,,
s_parts=174,s_parts=7,21068.84613,21.06884613,,,,,,,,,7,174,21.06884613,99.86%,,,
s_parts=173,s_parts=7,21068.84613,21.06884613,,,,,,,,,7,173,21.06884613,99.86%,,,
s_parts=172,s_parts=7,21068.84614,21.06884614,,,,,,,,,7,172,21.06884614,99.86%,,,
s_parts=171,s_parts=7,21068.84615,21.06884615,,,,,,,,,7,171,21.06884615,99.86%,,,
s_parts=170,s_parts=7,21068.84618,21.06884618,,,,,,,,,7,170,21.06884618,99.86%,,,
s_parts=169,s_parts=7,21068.84622,21.06884622,,,,,,,,,7,169,21.06884622,99.86%,,,
s_parts=168,s_parts=7,21068.84629,21.06884629,,,,,,,,,7,168,21.06884629,99.86%,,,
s_parts=167,s_parts=7,21068.84641,21.06884641,,,,,,,,,7,167,21.06884641,99.86%,,,
s_parts=166,s_parts=7,21068.84661,21.06884661,,,,,,,,,7,166,21.06884661,99.86%,,,
s_parts=165,s_parts=7,21068.84694,21.06884694,,,,,,,,,7,165,21.06884694,99.86%,,,
s_parts=164,s_parts=7,21068.84749,21.06884749,,,,,,,,,7,164,21.06884749,99.86%,,,
s_parts=163,s_parts=7,21068.8484,21.0688484,,,,,,,,,7,163,21.0688484,99.86%,,,
s_parts=162,s_parts=7,21068.8499,21.0688499,,,,,,,,,7,162,21.0688499,99.86%,,,
s_parts=161,s_parts=7,21068.85233,21.06885233,,,,,,,,,7,161,21.06885233,99.86%,,,
s_parts=160,s_parts=7,21068.85628,21.06885628,,,,,,,,,7,160,21.06885628,99.86%,,,
